ID,brand,c__productCategory,manufacturerSKU,name__default,mainImageName(.png),imageSize(pixels),duplicatedManufacturerSku,matched_image
superior-43-inch-linear-vent-free-outdoor-gas-fireplace-vre4543,Superior,Outdoor Gas Fireplaces,VRE4543EN,Superior 43 Linear Vent Free Outdoor Gas Fireplace | VRE4543,vre4543en,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-ovffp-vre4543-hires-1.tif
superior-43-inch-vent-free-linear-gas-fireplace-vrl4543,Superior,Gas Fireplaces,VRL4543TEN,Superior 43 Vent Free Linear Gas Fireplace | VRL4543,vrl4543ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffp-vrl4543-hires-1.tif
superior-43-inch-wood-fireplace-wrt3543,Superior,Wood Fireplaces,WRT3543WS,Superior 43 Wood Fireplace | WRT3543,wrt3543ws,1000x1000,FALSE,Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt3500-38-hires-1.tif
superior-43-inch-wood-fireplace-wrt4043,Superior,Wood Fireplaces,WRT4043IS,Superior 43 Inch Wood Fireplace | WRT4043 |,wrt4043is,1000x1000,FALSE,Web Images/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces/WRT40PN.jpg
superior-45-inch-contemporary-linear-direct-vent-gas-fireplace-drl2045ten,Superior,Gas Fireplaces,DRL2045TEN,Superior 45 Contemporary Linear Direct-Vent Gas Fireplace | DRL2045TEN,drl2045ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drl2000-35-hires-1.tif
superior-45-inch-contemporary-linear-direct-vent-gas-fireplace-drl3545ten,Superior,Gas Fireplaces,DRL3545TEN,Superior 45 Contemporary Linear Direct-Vent Gas Fireplace | DRL3545TEN,drl3545ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drl3500-45-hires-1.tif
superior-45-inch-direct-vent-contemporary-gas-fireplace-drc2045,Superior,Gas Fireplaces,DRC2045TEN,Superior 45 Direct-Vent Contemporary Gas Fireplace | DRC2045,drc2045ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drc2000-35-hires-1.tif
superior-45-inch-direct-vent-contemporary-gas-fireplace-drc3545,Superior,Gas Fireplaces,DRC3545DEN-B,Superior 45 Direct-Vent Contemporary Gas Fireplace | DRC3545,drc3545den-b,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drc3500-40-hires-1.tif
superior-45-inch-direct-vent-contemporary-gas-fireplace-drc6345,Superior,Gas Fireplaces,DRC6345TEN,Superior 45 Direct-Vent Contemporary Gas Fireplace | DRC6345,drc6345ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drc6300-40-hires-1.tif
superior-45-inch-direct-vent-traditional-gas-fireplace-drt2045,Superior,Gas Fireplaces,DRT2045TEN,Superior 45 Direct-Vent Traditional Gas Fireplace | DRT2045,drt2045ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt2000-35-hires-1.tif
superior-45-inch-direct-vent-traditional-gas-fireplace-drt3045,Superior,Gas Fireplaces,DRT3045TEN,Superior 45 Direct-Vent Traditional Gas Fireplace | DRT3045,drt3045ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt3000-40-hires-1.tif
superior-45-inch-direct-vent-traditional-gas-fireplace-drt3545,Superior,Gas Fireplaces,DRT3545TEN,Superior 45 Direct-Vent Traditional Gas Fireplace | DRT3545,drt3545ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt3500-40-hires-1.tif
superior-45-inch-direct-vent-traditional-gas-fireplace-drt4045,Superior,Gas Fireplaces,DRT4045TEN,Superior 45 Direct-Vent Traditional Gas Fireplace | DRT4045,drt4045ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt4000-40-hires-1.tif
superior-45-inch-direct-vent-traditional-gas-fireplace-drt4245,Superior,Gas Fireplaces,DRT4245TEN,Superior 45 Direct-Vent Traditional Gas Fireplace | DRT4245,drt4245ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt4200-45-hires-1.tif
